kpi_name,model_type,model_name,split_id,mae,rmse,mape,n_train,n_test
Customer Accident Injury Rate - NYCT Bus,TS,Prophet,1,0.2482247464130826,0.3190383229151114,20.82384702560666,36,6
Customer Accident Injury Rate - NYCT Bus,TS,SARIMA,1,0.364936408877269,0.39875872488191455,31.462157365933503,36,6
Customer Accident Injury Rate - NYCT Bus,TS,Prophet,2,0.292113545742957,0.35947225836606433,23.627402468750606,37,6
Customer Accident Injury Rate - NYCT Bus,TS,SARIMA,2,0.2963498889563269,0.3274582428978902,24.402223519871637,37,6
Port Jervis Line - OTP ,TS,Prophet,1,2.710147663489733,3.7825795866758622,2.9879122667818234,36,6
Port Jervis Line - OTP ,TS,SARIMA,1,2.2641645070919694,3.439564813424486,2.507812267793867,36,6
Port Jervis Line - OTP ,TS,Prophet,2,2.546357258069712,3.368543499482582,2.6542948161301276,37,6
Port Jervis Line - OTP ,TS,SARIMA,2,2.9697767469565997,3.4350839080896165,3.1144751067255854,37,6
Elevator Availability,TS,Prophet,1,1.602252433244986,1.796821343700151,1.627440145596961,60,12
Elevator Availability,TS,SARIMA,1,1.3426439888071056,1.4892325044855454,1.361129631867594,60,12
Elevator Availability,TS,Prophet,2,1.5171903216349645,1.7637862885792295,1.537002378140739,62,12
Elevator Availability,TS,SARIMA,2,1.2638006370961392,1.4686843016652118,1.2781538355273574,62,12
JFK Depot - % of Completed Trips,TS,Prophet,1,1.324733990002386,1.5071665322752497,1.3633006143917599,36,6
JFK Depot - % of Completed Trips,TS,SARIMA,1,1.1868825444785547,1.326692168957705,1.2182865937368683,36,6
JFK Depot - % of Completed Trips,TS,Prophet,2,2.355055567991466,2.9981199036251414,2.4026852428733547,37,6
JFK Depot - % of Completed Trips,TS,SARIMA,2,1.3471178329701534,1.6474790773572423,1.3767725657765053,37,6
Subway Wait Assessment - A Line,TS,Prophet,1,1.4606862235215203,1.572116103834591,2.0123017976029547,24,6
Subway Wait Assessment - A Line,TS,SARIMA,1,1.3324681851039084,1.438310349555815,1.8353066027833944,24,6
